Date,Close,Volume
2019-07-15,203.91000366210938,16030335
2019-07-16,203.83999633789062,12132720
2019-07-17,201.8000030517578,12083714
2019-07-18,200.77999877929688,11956554
2019-07-19,198.36000061035156,12098262
2019-07-22,202.32000732421875,13589024
2019-07-23,202.36000061035156,14583680
2019-07-24,204.66000366210938,32532540
2019-07-25,200.7100067138672,39889869
2019-07-26,199.75,24433985
2019-07-29,195.94000244140625,16530801
2019-07-30,197.0399932861328,11903558
2019-07-31,194.22999572753906,14593544
2019-08-01,192.72999572753906,17777013
2019-08-02,189.02000427246094,15296975
2019-08-05,181.72999572753906,23086655
2019-08-06,184.50999450683594,18035686
2019-08-07,185.14999389648438,15833197
2019-08-08,190.16000366210938,14828916
2019-08-09,187.85000610351562,11058811
2019-08-12,185.3699951171875,10936283
2019-08-13,188.4499969482422,13653319
2019-08-14,179.7100067138672,18903716
2019-08-15,182.58999633789062,13059640
2019-08-16,183.6999969482422,12844832
2019-08-19,186.1699981689453,9699661
2019-08-20,183.80999755859375,10087592
2019-08-21,183.5500030517578,8409548
2019-08-22,182.0399932861328,10829509
2019-08-23,177.75,17331221
2019-08-26,180.36000061035156,8780477
2019-08-27,181.3000030517578,14408946
2019-08-28,181.75999450683594,9392060
2019-08-29,185.57000732421875,10135033
2019-08-30,185.6699981689453,10785722
2019-09-03,182.38999938964844,9792187
2019-09-04,187.13999938964844,11314571
2019-09-05,190.89999389648438,13896621
2019-09-06,187.49000549316406,15226820
2019-09-09,188.75999450683594,14722402
2019-09-10,186.1699981689453,15455867
2019-09-11,188.49000549316406,11761660
2019-09-12,187.47000122070312,11419775
2019-09-13,187.19000244140625,11441116
2019-09-16,186.22000122070312,8444844
2019-09-17,188.0800018310547,9751570
2019-09-18,188.13999938964844,9945798
2019-09-19,190.13999938964844,10474685
2019-09-20,189.92999267578125,20359878
2019-09-23,186.82000732421875,14370089
2019-09-24,181.27999877929688,18775666
2019-09-25,182.8000030517578,18339960
2019-09-26,180.11000061035156,16280691
2019-09-27,177.10000610351562,14663575
2019-09-30,178.0800018310547,11071425
2019-10-01,175.80999755859375,17261556
2019-10-02,174.60000610351562,16374148
2019-10-03,179.3800048828125,16789319
2019-10-04,180.4499969482422,10476395
2019-10-07,179.67999267578125,9359793
2019-10-08,177.75,10084896
2019-10-09,179.85000610351562,7648874
2019-10-10,180.02999877929688,8980978
2019-10-11,184.19000244140625,14998754
2019-10-14,183.27999877929688,7203665
2019-10-15,188.88999938964844,15143119
2019-10-16,189.5500030517578,10560343
2019-10-17,190.38999938964844,9761548
2019-10-18,185.85000610351562,16882862
2019-10-21,189.75999450683594,8580744
2019-10-22,182.33999633789062,19854192
2019-10-23,186.14999389648438,12370819
2019-10-24,186.3800048828125,11505406
2019-10-25,187.88999938964844,8061240
2019-10-28,189.39999389648438,13657866
2019-10-29,189.30999755859375,13574874
2019-10-30,188.25,28734559
2019-10-31,191.64999389648438,42286529
2019-11-01,193.6199951171875,21711829
2019-11-04,194.72000122070312,16371292
2019-11-05,194.32000732421875,9941954
2019-11-06,191.5500030517578,10973019
2019-11-07,190.4199981689453,13472998
2019-11-08,190.83999633789062,10764784
2019-11-11,189.61000061035156,8637768
2019-11-12,194.47000122070312,17615454
2019-11-13,193.19000244140625,11009800
2019-11-14,193.14999389648438,9059897
2019-11-15,195.10000610351562,11530232
2019-11-18,197.39999389648438,16176107
2019-11-19,199.32000732421875,19070291
2019-11-20,197.50999450683594,12370240
2019-11-21,197.92999267578125,12130985
2019-11-22,198.82000732421875,9959817
2019-11-25,199.7899932861328,15286442
2019-11-26,198.97000122070312,11748664
2019-11-27,202.0,12760568
2019-11-29,201.63999938964844,7985231
2019-12-02,199.6999969482422,11542020
2019-12-03,198.82000732421875,13014170
2019-12-04,198.7100067138672,8459939
2019-12-05,199.36000061035156,9755350
2019-12-06,201.0500030517578,12279525
2019-12-09,201.33999633789062,12013218
